Formation of massive stars by growing accretion
===============================================

Tables of the principal properties of stars on the birthline
and stars leaving the birthline.

Complete tables for the article by
   Behrend R., Maeder A., A&A 2001 ***, ***

Authors: R. Behrend and A. Maeder
         Geneva Observatory
         CH-1290 Sauverny
         Switzerland

Contact: raoul.behrend@obs.unige.ch
         andre.maeder@obs.unige.ch
 or see: http://obswww.unige.ch

Entries of the tables:
  -  time in year
  -  decimal logarithm of the bolometric luminosity of the star in
     units of solar luminosity
  -  mass of the star in units of solar mass
  -  effective temperature in Kelvin
  -  radius of the star in units of solar radius
  -  upper radius of the convective zone, in units of stellar radius
  -  lower radius of the convective zone, in units of stellar radius
  -  disc luminosity, in units of stellar luminosity

The birtline is computed with \tilde{f}=0.5.
t_stop is the age of the star at the end of the accretion

ftp://obsftp.unige.ch/pub/evol/prems/AA2001BM/


Birthline with \tilde{f}=0.5
============================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
2.570e6     0.148   1.188   4.598e3   1.868     1.000     0.121   0.000
2.972e6     0.101   1.188   4.584e3   1.779     1.000     0.150   0.000
3.444e6     0.059   1.188   4.582e3   1.697     1.000     0.182   0.000
4.068e6     0.020   1.188   4.596e3   1.613     1.000     0.216   0.000
4.790e6    -0.012   1.188   4.619e3   1.538     1.000     0.249   0.000
5.624e6    -0.041   1.188   4.644e3   1.472     1.000     0.287   0.000
6.588e6    -0.062   1.188   4.682e3   1.415     1.000     0.328   0.000
7.702e6    -0.071   1.188   4.741e3   1.365     1.000     0.369   0.000
8.915e6    -0.071   1.188   4.806e3   1.328     1.000     0.415   0.000
10.24e6    -0.056   1.188   4.891e3   1.304     1.000     0.459   0.000
11.60e6    -0.023   1.188   5.008e3   1.293     1.000     0.517   0.000
12.93e6     0.033   1.188   5.171e3   1.293     1.000     0.574   0.000
14.59e6     0.108   1.188   5.363e3   1.311     1.000     0.662   0.000
16.03e6     0.192   1.188   5.557e3   1.344     1.000     0.794   0.000
17.22e6     0.272   1.188   5.744e3   1.380     0.000     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 120e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

120.4e3     1.435   1.667   4.582e3   8.272     1.000     0.000   0.000
145.0e3     1.438   1.667   4.564e3   8.366     1.000     0.000   0.000
162.3e3     1.391   1.667   4.594e3   7.826     1.000     0.000   0.000
185.6e3     1.312   1.667   4.623e3   7.055     1.000     0.000   0.000
214.0e3     1.242   1.667   4.661e3   6.406     1.000     0.000   0.000
238.8e3     1.195   1.667   4.691e3   5.987     1.000     0.000   0.000
265.9e3     1.145   1.667   4.702e3   5.627     1.000     0.000   0.000
296.8e3     1.099   1.667   4.717e3   5.301     1.000     0.000   0.000
335.5e3     1.052   1.667   4.741e3   4.975     1.000     0.000   0.000
381.2e3     1.007   1.667   4.767e3   4.671     1.000     0.000   0.000
438.2e3     0.960   1.667   4.795e3   4.373     1.000     0.000   0.000
495.4e3     0.907   1.667   4.783e3   4.136     1.000     0.000   0.000
562.8e3     0.860   1.667   4.787e3   3.911     1.000     0.003   0.000
657.5e3     0.815   1.667   4.820e3   3.662     1.000     0.020   0.000
768.6e3     0.764   1.667   4.833e3   3.434     1.000     0.044   0.000
887.8e3     0.720   1.667   4.851e3   3.240     1.000     0.066   0.000
1.030e6     0.672   1.667   4.857e3   3.060     1.000     0.090   0.000
1.189e6     0.624   1.667   4.852e3   2.900     1.000     0.116   0.000
1.401e6     0.582   1.667   4.880e3   2.731     1.000     0.147   0.000
1.657e6     0.544   1.667   4.920e3   2.573     1.000     0.178   0.000
1.938e6     0.498   1.667   4.918e3   2.442     1.000     0.211   0.000
2.258e6     0.465   1.667   4.942e3   2.328     1.000     0.244   0.000
2.627e6     0.432   1.667   4.958e3   2.228     1.000     0.283   0.000
3.055e6     0.409   1.667   4.987e3   2.143     1.000     0.319   0.000
3.548e6     0.399   1.667   5.043e3   2.073     1.000     0.361   0.000
4.086e6     0.404   1.667   5.121e3   2.022     1.000     0.408   0.000
4.638e6     0.423   1.667   5.213e3   1.993     1.000     0.454   0.000
5.206e6     0.454   1.667   5.306e3   1.994     1.000     0.509   0.000
5.761e6     0.506   1.667   5.430e3   2.023     1.000     0.588   0.000
6.393e6     0.592   1.667   5.582e3   2.112     1.000     0.705   0.000
6.856e6     0.674   1.667   5.722e3   2.208     1.000     0.911   0.000
7.237e6     0.757   1.667   5.861e3   2.315     0.000     0.000   0.000
7.673e6     0.834   1.667   6.029e3   2.391     0.000     0.000   0.000
8.115e6     0.910   1.667   6.238e3   2.439     0.000     0.000   0.000
8.539e6     0.981   1.667   6.503e3   2.435     0.000     0.000   0.000
8.936e6     1.033   1.667   6.852e3   2.329     0.000     0.000   0.000
9.334e6     1.061   1.667   7.284e3   2.129     0.005     0.000   0.000
9.917e6     0.987   1.667   7.499e3   1.845     0.033     0.000   0.000
10.27e6     0.896   1.667   7.353e3   1.728     0.038     0.000   0.000
10.86e6     0.817   1.667   7.166e3   1.660     0.031     0.000   0.000
11.82e6     0.873   1.667   7.358e3   1.679     0.021     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 130e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

130.1e3     1.522   1.941   4.639e3   8.920     1.000     0.000   0.000
147.0e3     1.498   1.941   4.634e3   8.701     1.000     0.000   0.000
164.7e3     1.429   1.941   4.665e3   7.931     1.000     0.000   0.000
182.8e3     1.384   1.941   4.708e3   7.392     1.000     0.000   0.000
204.7e3     1.336   1.941   4.742e3   6.889     1.000     0.000   0.000
226.8e3     1.284   1.941   4.739e3   6.502     1.000     0.000   0.000
255.6e3     1.240   1.941   4.773e3   6.091     1.000     0.000   0.000
292.6e3     1.193   1.941   4.812e3   5.677     1.000     0.000   0.000
331.6e3     1.143   1.941   4.823e3   5.335     1.000     0.000   0.000
377.9e3     1.095   1.941   4.839e3   5.014     1.000     0.000   0.000
433.1e3     1.048   1.941   4.860e3   4.712     1.000     0.014   0.000
499.4e3     0.999   1.941   4.874e3   4.426     1.000     0.034   0.000
571.9e3     0.954   1.941   4.888e3   4.180     1.000     0.053   0.000
663.4e3     0.909   1.941   4.913e3   3.930     1.000     0.079   0.000
780.3e3     0.865   1.941   4.948e3   3.679     1.000     0.104   0.000
903.6e3     0.815   1.941   4.949e3   3.474     1.000     0.131   0.000
1.048e6     0.771   1.941   4.959e3   3.290     1.000     0.158   0.000
1.227e6     0.728   1.941   4.971e3   3.115     1.000     0.192   0.000
1.431e6     0.693   1.941   4.999e3   2.959     1.000     0.222   0.000
1.668e6     0.664   1.941   5.035e3   2.820     1.000     0.256   0.000
1.941e6     0.635   1.941   5.061e3   2.699     1.000     0.292   0.000
2.257e6     0.616   1.941   5.106e3   2.596     1.000     0.334   0.000
2.622e6     0.607   1.941   5.159e3   2.516     1.000     0.376   0.000
2.996e6     0.611   1.941   5.220e3   2.468     1.000     0.425   0.000
3.381e6     0.635   1.941   5.305e3   2.456     1.000     0.482   0.000
3.771e6     0.680   1.941   5.425e3   2.476     1.000     0.544   0.000
4.250e6     0.763   1.941   5.569e3   2.583     1.000     0.675   0.000
4.577e6     0.850   1.941   5.700e3   2.727     1.000     0.880   0.000
4.831e6     0.933   1.941   5.838e3   2.859     0.000     0.000   0.000
5.143e6     1.012   1.941   5.996e3   2.967     0.000     0.000   0.000
5.437e6     1.092   1.941   6.204e3   3.039     0.000     0.000   0.000
5.736e6     1.171   1.941   6.477e3   3.054     0.000     0.000   0.000
6.032e6     1.247   1.941   6.955e3   2.894     0.000     0.000   0.000
6.229e6     1.293   1.941   7.385e3   2.705     0.000     0.000   0.000
6.441e6     1.331   1.941   7.851e3   2.499     0.000     0.000   0.000
6.718e6     1.344   1.941   8.367e3   2.233     0.012     0.000   0.000
7.029e6     1.252   1.941   8.419e3   1.985     0.036     0.000   0.000
7.250e6     1.161   1.941   8.228e3   1.871     0.039     0.000   0.000
8.121e6     1.160   1.941   8.327e3   1.825     0.020     0.000   0.000
8.532e6     1.222   1.941   8.713e3   1.791     0.008     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 140e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

139.5e3     1.568   2.305   4.718e3   9.093     1.000     0.000   0.000
163.3e3     1.504   2.305   4.767e3   8.276     1.000     0.000   0.000
183.3e3     1.457   2.305   4.799e3   7.741     1.000     0.000   0.000
206.4e3     1.406   2.305   4.812e3   7.256     1.000     0.000   0.000
231.0e3     1.361   2.305   4.827e3   6.844     1.000     0.000   0.000
266.6e3     1.314   2.305   4.871e3   6.371     1.000     0.008   0.000
305.5e3     1.267   2.305   4.896e3   5.971     1.000     0.027   0.000
349.4e3     1.217   2.305   4.907e3   5.616     1.000     0.047   0.000
402.0e3     1.171   2.305   4.929e3   5.277     1.000     0.070   0.000
466.7e3     1.124   2.305   4.954e3   4.950     1.000     0.094   0.000
540.4e3     1.080   2.305   4.976e3   4.663     1.000     0.118   0.000
630.5e3     1.035   2.305   4.998e3   4.390     1.000     0.145   0.000
735.3e3     0.996   2.305   5.031e3   4.140     1.000     0.174   0.000
856.4e3     0.958   2.305   5.062e3   3.915     1.000     0.205   0.000
996.4e3     0.921   2.305   5.086e3   3.716     1.000     0.236   0.000
1.158e6     0.888   2.305   5.109e3   3.544     1.000     0.272   0.000
1.345e6     0.861   2.305   5.140e3   3.395     1.000     0.308   0.000
1.561e6     0.846   2.305   5.190e3   3.273     1.000     0.349   0.000
1.796e6     0.843   2.305   5.250e3   3.187     1.000     0.395   0.000
2.053e6     0.854   2.305   5.325e3   3.140     1.000     0.449   0.000
2.316e6     0.884   2.305   5.409e3   3.147     1.000     0.523   0.000
2.566e6     0.939   2.305   5.517e3   3.224     1.000     0.616   0.000
2.814e6     1.027   2.305   5.632e3   3.425     1.000     0.803   0.000
2.993e6     1.117   2.305   5.778e3   3.608     0.000     0.000   0.000
3.257e6     1.214   2.305   5.971e3   3.778     0.000     0.000   0.000
3.460e6     1.294   2.305   6.177e3   3.870     0.000     0.000   0.000
3.652e6     1.375   2.305   6.477e3   3.865     0.000     0.000   0.000
3.835e6     1.452   2.305   6.945e3   3.674     0.000     0.000   0.000
4.008e6     1.527   2.305   7.554e3   3.384     0.000     0.000   0.000
4.176e6     1.592   2.305   8.216e3   3.083     0.000     0.000   0.000
4.334e6     1.640   2.305   8.875e3   2.793     0.000     0.000   0.000
4.505e6     1.655   2.305   9.478e3   2.491     0.010     0.000   0.000
4.710e6     1.561   2.305   9.567e3   2.195     0.035     0.000   0.000
4.852e6     1.470   2.305   9.349e3   2.068     0.039     0.000   0.000
5.392e6     1.486   2.305   9.589e3   2.003     0.018     0.000   0.000
5.608e6     1.549   2.305  10.065e3   1.956     0.009     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 160e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

159.0e3     1.590   2.977   4.890e3   8.685     1.000     0.055   0.000
185.6e3     1.533   2.977   4.919e3   8.033     1.000     0.088   0.000
216.6e3     1.488   2.977   4.950e3   7.537     1.000     0.115   0.000
254.2e3     1.443   2.977   4.981e3   7.068     1.000     0.140   0.000
298.1e3     1.403   2.977   5.019e3   6.647     1.000     0.165   0.000
348.8e3     1.365   2.977   5.057e3   6.265     1.000     0.192   0.000
407.4e3     1.324   2.977   5.082e3   5.921     1.000     0.218   0.000
475.1e3     1.287   2.977   5.111e3   5.611     1.000     0.252   0.000
553.3e3     1.255   2.977   5.142e3   5.337     1.000     0.284   0.000
643.8e3     1.227   2.977   5.178e3   5.100     1.000     0.325   0.000
748.3e3     1.207   2.977   5.220e3   4.904     1.000     0.367   0.000
869.0e3     1.198   2.977   5.270e3   4.763     1.000     0.420   0.000
993.1e3     1.205   2.977   5.329e3   4.696     1.000     0.480   0.000
1.121e6     1.232   2.977   5.404e3   4.712     1.000     0.561   0.000
1.247e6     1.288   2.977   5.502e3   4.845     1.000     0.692   0.000
1.368e6     1.378   2.977   5.629e3   5.132     1.000     0.888   0.000
1.470e6     1.453   2.977   5.757e3   5.352     0.000     0.000   0.000
1.595e6     1.530   2.977   5.934e3   5.504     0.000     0.000   0.000
1.710e6     1.608   2.977   6.175e3   5.559     0.000     0.000   0.000
1.818e6     1.688   2.977   6.544e3   5.426     0.000     0.000   0.000
1.917e6     1.765   2.977   7.068e3   5.086     0.000     0.000   0.000
2.006e6     1.840   2.977   7.642e3   4.740     0.000     0.000   0.000
2.088e6     1.912   2.977   8.268e3   4.398     0.000     0.000   0.000
2.171e6     1.981   2.977   8.985e3   4.032     0.000     0.000   0.000
2.250e6     2.043   2.977   9.762e3   3.669     0.000     0.000   0.000
2.333e6     2.091   2.977  10.611e3   3.283     0.000     0.000   0.000
2.412e6     2.110   2.977  11.330e3   2.942     0.007     0.000   0.000
2.526e6     2.019   2.977  11.552e3   2.551     0.034     0.000   0.000
2.598e6     1.927   2.977  11.286e3   2.404     0.040     0.000   0.000
2.865e6     1.947   2.977  11.680e3   2.296     0.019     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 180e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

180.8e3     1.598   3.632   5.070e3   8.155     1.000     0.160   0.000
209.3e3     1.569   3.632   5.064e3   7.904     1.000     0.225   0.000
241.9e3     1.546   3.632   5.088e3   7.629     1.000     0.269   0.000
281.5e3     1.524   3.632   5.116e3   7.356     1.000     0.312   0.000
327.2e3     1.508   3.632   5.155e3   7.107     1.000     0.353   0.000
380.1e3     1.496   3.632   5.202e3   6.884     1.000     0.402   0.000
441.2e3     1.491   3.632   5.253e3   6.716     1.000     0.454   0.000
511.8e3     1.500   3.632   5.314e3   6.630     1.000     0.525   0.000
584.3e3     1.531   3.632   5.390e3   6.680     1.000     0.620   0.000
651.7e3     1.587   3.632   5.490e3   6.867     1.000     0.736   0.000
724.3e3     1.666   3.632   5.606e3   7.209     1.000     0.926   0.000
804.1e3     1.742   3.632   5.783e3   7.396     0.000     0.000   0.000
884.3e3     1.817   3.632   6.002e3   7.480     0.000     0.000   0.000
954.5e3     1.893   3.632   6.347e3   7.307     0.000     0.000   0.000
1.020e6     1.971   3.632   6.861e3   6.839     0.000     0.000   0.000
1.078e6     2.046   3.632   7.415e3   6.385     0.000     0.000   0.000
1.128e6     2.112   3.632   7.964e3   5.972     0.000     0.000   0.000
1.181e6     2.185   3.632   8.642e3   5.517     0.000     0.000   0.000
1.232e6     2.256   3.632   9.392e3   5.067     0.000     0.000   0.000
1.282e6     2.325   3.632  10.252e3   4.602     0.000     0.000   0.000
1.331e6     2.382   3.632  11.158e3   4.150     0.000     0.000   0.000
1.378e6     2.427   3.632  12.100e3   3.716     0.000     0.000   0.000
1.423e6     2.446   3.632  12.916e3   3.334     0.005     0.000   0.000
1.496e6     2.363   3.632  13.293e3   2.861     0.034     0.000   0.000
1.544e6     2.264   3.632  12.972e3   2.682     0.042     0.000   0.000
1.705e6     2.284   3.632  13.463e3   2.547     0.022     0.000   0.000
1.770e6     2.342   3.632  14.175e3   2.457     0.016     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 200e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

202.0e3     1.615   4.381   5.200e3   7.900     1.000     0.392   0.000
228.9e3     1.637   4.381   5.234e3   8.004     1.000     0.438   0.000
260.1e3     1.682   4.381   5.286e3   8.264     1.000     0.524   0.000
288.3e3     1.742   4.381   5.336e3   8.688     1.000     0.628   0.000
316.6e3     1.836   4.381   5.424e3   9.370     1.000     0.789   0.000
345.9e3     1.932   4.381   5.550e3   9.997     1.000     0.930   0.000
381.7e3     1.978   4.381   5.675e3  10.077     0.000     0.000   0.000
434.2e3     2.047   4.381   5.919e3  10.027     0.000     0.000   0.000
468.5e3     2.098   4.381   6.172e3   9.788     0.000     0.000   0.000
497.1e3     2.154   4.381   6.496e3   9.419     0.000     0.000   0.000
534.7e3     2.215   4.381   6.967e3   8.779     0.000     0.000   0.000
573.4e3     2.289   4.381   7.555e3   8.139     0.000     0.000   0.000
607.6e3     2.360   4.381   8.159e3   7.572     0.000     0.000   0.000
640.7e3     2.433   4.381   8.845e3   7.008     0.000     0.000   0.000
672.4e3     2.504   4.381   9.601e3   6.452     0.000     0.000   0.000
703.3e3     2.572   4.381  10.453e3   5.886     0.000     0.000   0.000
733.7e3     2.634   4.381  11.389e3   5.327     0.000     0.000   0.000
763.5e3     2.687   4.381  12.384e3   4.785     0.000     0.000   0.000
793.9e3     2.729   4.381  13.460e3   4.254     0.000     0.000   0.000
822.3e3     2.751   4.381  14.421e3   3.799     0.001     0.000   0.000
869.6e3     2.688   4.381  15.117e3   3.216     0.032     0.000   0.000
902.0e3     2.587   4.381  14.794e3   2.991     0.044     0.000   0.000
1.005e6     2.582   4.381  15.209e3   2.813     0.027     0.000   0.000
1.050e6     2.640   4.381  16.049e3   2.700     0.019     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 215e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

216.4e3     1.721   4.988   5.378e3   8.350     1.000     0.560   0.000
233.2e3     1.847   4.988   5.432e3   9.464     1.000     0.747   0.000
239.7e3     1.969   4.988   5.525e3  10.519     1.000     0.876   0.000
245.8e3     2.078   4.988   5.626e3  11.505     0.000     0.000   0.000
262.5e3     2.184   4.988   5.782e3  12.303     0.000     0.000   0.000
291.2e3     2.256   4.988   6.060e3  12.172     0.000     0.000   0.000
312.7e3     2.304   4.988   6.382e3  11.604     0.000     0.000   0.000
334.9e3     2.354   4.988   6.762e3  10.944     0.000     0.000   0.000
354.5e3     2.400   4.988   7.132e3  10.374     0.000     0.000   0.000
373.4e3     2.450   4.988   7.535e3   9.847     0.000     0.000   0.000
399.5e3     2.524   4.988   8.170e3   9.114     0.000     0.000   0.000
423.3e3     2.594   4.988   8.845e3   8.438     0.000     0.000   0.000
446.6e3     2.665   4.988   9.598e3   7.770     0.000     0.000   0.000
462.0e3     2.713   4.988  10.169e3   7.314     0.000     0.000   0.000
484.5e3     2.780   4.988  11.089e3   6.644     0.000     0.000   0.000
506.4e3     2.838   4.988  12.076e3   5.992     0.000     0.000   0.000
527.8e3     2.891   4.988  13.154e3   5.364     0.000     0.000   0.000
548.8e3     2.932   4.988  14.258e3   4.786     0.000     0.000   0.000
570.3e3     2.955   4.988  15.344e3   4.245     0.000     0.000   0.000
597.0e3     2.942   4.988  16.342e3   3.686     0.018     0.000   0.000
626.1e3     2.838   4.988  16.276e3   3.298     0.044     0.000   0.000
656.0e3     2.748   4.988  15.891e3   3.118     0.047     0.000   0.000
714.9e3     2.790   4.988  16.571e3   3.010     0.029     0.000   0.000
748.2e3     2.843   4.988  17.455e3   2.883     0.022     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 230e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

230.1e3     2.471   5.822   6.632e3  13.017     0.000     0.000   0.000
245.7e3     2.525   5.822   6.940e3  12.648     0.000     0.000   0.000
258.4e3     2.604   5.822   7.364e3  12.312     0.000     0.000   0.000
273.2e3     2.678   5.822   7.881e3  11.693     0.000     0.000   0.000
289.4e3     2.751   5.822   8.510e3  10.913     0.000     0.000   0.000
305.9e3     2.824   5.822   9.233e3  10.088     0.000     0.000   0.000
321.9e3     2.897   5.822  10.052e3   9.248     0.000     0.000   0.000
332.3e3     2.944   5.822  10.656e3   8.692     0.000     0.000   0.000
347.0e3     3.006   5.822  11.581e3   7.902     0.000     0.000   0.000
362.1e3     3.067   5.822  12.650e3   7.102     0.000     0.000   0.000
376.8e3     3.116   5.822  13.770e3   6.345     0.000     0.000   0.000
391.3e3     3.158   5.822  14.952e3   5.646     0.000     0.000   0.000
407.3e3     3.187   5.822  16.248e3   4.944     0.000     0.000   0.000
423.6e3     3.195   5.822  17.433e3   4.336     0.004     0.000   0.000
449.3e3     3.112   5.822  18.034e3   3.682     0.040     0.000   0.000
468.5e3     3.016   5.822  17.637e3   3.447     0.051     0.000   0.000
518.3e3     3.029   5.822  18.259e3   3.265     0.032     0.000   0.000
546.7e3     3.080   5.822  19.323e3   3.090     0.027     0.000   0.000
595.9e3     3.013   5.822  19.304e3   2.868     0.049     0.000   0.000



Evolution of a star leaving the birthline at t_stop \approx 235e3 yr
====================================================================

      t       L       M       T_eff     R     R_c,sup   R_c,inf  L_disc
     --  log-----   -----     -----   -----   -------   -------  ------
     yr     L_sun   M_sun       K     R_sun      R         R       L

235.1e3     3.082   6.815   9.267e3  13.467     0.000     0.000   0.000
236.5e3     2.973   6.815   8.941e3  12.766     0.000     0.000   0.000
251.5e3     3.022   6.815   9.560e3  11.814     0.000     0.000   0.000
259.9e3     3.094   6.815  10.240e3  11.189     0.000     0.000   0.000
269.7e3     3.163   6.815  11.085e3  10.341     0.000     0.000   0.000
279.9e3     3.229   6.815  12.074e3   9.404     0.000     0.000   0.000
289.6e3     3.287   6.815  13.133e3   8.496     0.000     0.000   0.000
299.6e3     3.336   6.815  14.286e3   7.598     0.000     0.000   0.000
309.8e3     3.378   6.815  15.544e3   6.736     0.000     0.000   0.000
320.2e3     3.411   6.815  16.862e3   5.940     0.000     0.000   0.000
331.8e3     3.429   6.815  18.263e3   5.171     0.000     0.000   0.000
345.7e3     3.417   6.815  19.576e3   4.442     0.015     0.000   0.000
362.6e3     3.317   6.815  19.685e3   3.912     0.049     0.000   0.000
380.9e3     3.229   6.815  19.274e3   3.689     0.053     0.000   0.000
410.6e3     3.272   6.815  20.190e3   3.532     0.033     0.000   0.000



